,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,082024_BEL_CBC_T1_1481_PSTR,Healthy,1_14_2025,45.8,UML_NARWHAL_R2_B15,,,1_12,8_22_2025,12_10_2025,
,012024_BEL_CBC_T2_591_PAST,Healthy,2_17_2025,29.4,UML_NARWHAL_R2_B16,,,2_68,8_22_2025,12_15_2025,y
,022024_BEL_CBC_T3_847_PAST,Healthy,11_26_2024,54,UML_NARWHAL_R2_B13,,,3_10,8_22_2025,12_15_2025,y
,052022_BEL_CBC_T2_12_MCAV,Healthy,8_12_2024,0.902,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,2_55,8_22_2025,12_15_2025,y
,012024_BEL_CBC_T1_559_MCAV,Healthy,2_17_2025,14.8,UML_NARWHAL_R2_B16,,,1_24,8_22_2025,12_15_2025,
,112023_BEL_CBC_T4_397_PSTR,Healthy,11_15_2024,11.9,UML_NARWHAL_R2_B12,,,4_98,8_22_2025,12_15_2025,
,042024_BEL_CBC_T1_928_OANN,Healthy,12_2_2024,14.9,UML_NARWHAL_R2_B14,,,1_25,8_22_2025,12_15_2025,
,122022_BEL_CBC_T1_156_SSID,Healthy,12_2_2024,5.33,UML_NARWHAL_R2_B14,,,1_3,8_26_2025,12_15_2025,y
,012024_BEL_CBC_T4_669_MCAV,Healthy,2_20_2025,30.8,UML_NARWHAL_R2_B16,,,4_30,8_26_2025,12_15_2025,
,012024_BEL_CBC_T4_665_MCAV,Healthy,2_20_2025,16.3,UML_NARWHAL_R2_B16,,,4_76,8_26_2025,12_15_2025,
,052022_BEL_CBC_T2_3_SSID,Healthy,1_13_2025,12.1,UML_NARWHAL_R2_B15,,,2_72,8_26_2025,12_15_2025,y
,112023_BEL_CBC_T3_354_PSTR,Healthy,11_15_2024,2.34,UML_NARWHAL_R2_B12,,,3_20,8_26_2025,12_15_2025,
,082024_BEL_CBC_T3_1557_PAST,Healthy,1_15_2025,4.42,UML_NARWHAL_R2_B15,,,3_10,8_26_2025,12_15_2025,y
,122022_BEL_CBC_T2_92_MCAV,Healthy,8_12_2024,0.166,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,2_69,8_26_2025,12_15_2025,
,062019_BEL_CBC_T2_21_PAST,Healthy,9_16_2024,0.841,"UML_NARWHAL_R2_B34, UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",11_6_2024,UML_NARWHAL_R6_B27,2_57,8_26_2025,12_15_2025,y
,042024_BEL_CBC_T3_955_OFAV,Healthy,12_3_2024,155,UML_NARWHAL_R2_B14,,,3_38,8_28_2025,12_15_2025,
,122022_BEL_CBC_T1_150_PAST,Healthy,8_19_2024,5.72,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,UML_NARWHAL_R6_B30,1_21,8_28_2025,12_15_2025,y
,112023_BEL_CBC_T2_313_SSID,Healthy,11_13_2024,43.4,UML_NARWHAL_R2_B12,,,2_72,8_28_2025,12_16_2025,y
,092023_BEL_CBC_T2_179_SSID,Healthy,11_8_2024,10,UML_NARWHAL_R2_B12,,,2_99,8_28_2025,12_16_2025,y
,042024_BEL_CBC_T4_1042_OFAV,Healthy,12_3_2024,77.8,UML_NARWHAL_R2_B14,,,4_78,8_28_2025,12_16_2025,y
,112023_BEL_CBC_T3_353_MCAV,Healthy,11_15_2024,10.6,UML_NARWHAL_R2_B12,,,3_14,8_28_2025,12_16_2025,
,092023_BEL_CBC_T4_96_MCAV,Healthy,11_12_2024,16.5,UML_NARWHAL_R2_B12,,,4_30,8_28_2025,12_16_2025,y
,062019_BEL_CBC_T3_5_SSID,Healthy,12_3_2024,30.6,UML_NARWHAL_R2_B14,,,3_5,8_28_2025,12_16_2025,y
,112023_BEL_CBC_T3_359_PAST,Healthy,11_15_2024,1.98,UML_NARWHAL_R2_B12,,,3_34,8_28_2025,12_16_2025,y
,042024_BEL_CBC_T4_1041_MCAV,Healthy,12_3_2024,53.4,UML_NARWHAL_R2_B14,,,4_30,8_28_2025,12_16_2025,
,052022_BEL_CBC_T2_5_PAST,Healthy,9_11_2024,48.1,UML_NARWHAL_R2_B29,10_6_2024,UML_NARWHAL_R6_B30,2_68,8_28_2025,12_16_2025,
,062024_BEL_CBC_T1_1350_PSTR,Healthy,12_4_2024,18.7,UML_NARWHAL_R2_B15,,,1_12,8_28_2025,12_16_2025,
,082024_BEL_CBC_T3_1553_MCAV,Healthy,1_15_2025,89.8,UML_NARWHAL_R2_B15,,,3_2,8_28_2025,12_16_2025,
,122022_BEL_CBC_T3_151_PSTR,Healthy,7_12_2024,10.8,UML_NARWHAL_R2_B26,8_6_2024,UML_NARWHAL_R6_B27,3_70,8_28_2025,12_16_2025,y
,042024_BEL_CBC_T2_1034_SSID,Diseased_Tissue,9_9_2024,26,UML_NARWHAL_R2_B11,,,2_99,8_28_2025,12_16_2025,y
,122023_BEL_CBC_T2_512_OFAV,Healthy,11_18_2024,28.4,UML_NARWHAL_R2_B13,,,2_76,9_10_2025,12_16_2025,
