"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"26","052022_BEL_CBC_T2_60_PAST","8_9_2024","2.44","10_29_2024","UML_NARWHAL_R6_B30","052022","2_56","5/22/22","PAST","Diseased_Margin","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B26","n","Dead"
"27","052022_BEL_CBC_T2_62_PAST","11_2_2024","0.522","11_8_2024","UML_NARWHAL_R6_B27","052022","2_56","5/22/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B29","n","Diseased"
"28","052022_BEL_CBC_T2_62_PAST","11_2_2024","0.522","11_8_2024","UML_NARWHAL_R6_B27","052022","2_56","5/22/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B29","n","Dead"
"29","052022_BEL_CBC_T2_72_OFAV","10_3_2023","47.6","10_11_23","UML_NARWHAL_R6_B1","052022","2_80","5/24/22","OFAV","Healthy","Depleted_UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B3","n","Healthy"
"30","052022_BEL_CBC_T3_40_MCAV","6_14_2022","23","10_30_2024","UML_NARWHAL_R6_B27","052022","3_22","5/20/22","MCAV","Diseased_Margin","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"31","052022_BEL_CBC_T3_48_MCAV","6_14_2022","25.2","10_30_2024","UML_NARWHAL_R6_B27","052022","3_15","5/20/22","MCAV","Diseased_Margin","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"32","052022_BEL_CBC_T3_49_MCAV","6_14_2022","32","10_30_2024","UML_NARWHAL_R6_B27","052022","3_15","5/20/22","MCAV","Diseased_Tissue","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"33","052022_BEL_CBC_T3_50_MCAV","6_14_2022","4.26","10_30_2024","UML_NARWHAL_R6_B27","052022","3_17","5/20/22","MCAV","Diseased_Margin","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"34","052022_BEL_CBC_T3_51_MCAV","6_14_2022","18.6","10_30_2024","UML_NARWHAL_R6_B27","052022","3_17","5/20/22","MCAV","Diseased_Tissue","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"35","052022_BEL_CBC_T3_54_PAST","8_9_2024","1.41","10_29_2024","UML_NARWHAL_R6_B30","052022","3_18","5/20/22","PAST","Diseased_Margin","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B26","n","Diseased"
"36","052022_BEL_CBC_T3_55_PAST","8_9_2024","0.933","11_8_2024","UML_NARWHAL_R6_B27","052022","3_18","5/20/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B29","n","Diseased"
"37","052022_BEL_CBC_T3_60_MCAV","6_14_2022","12","11_8_2024","UML_NARWHAL_R6_B27","052022","3_22","5/20/22","MCAV","Diseased_Tissue","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"38","062019_BEL_CBC_T1_16_MCAV","2022","15.5","10_30_24","UML_NARWHAL_R6_B27","062019","1_8","6/24/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","n","Healthy"
"39","062019_BEL_CBC_T1_17_MCAV","2022","4.34","11_5_2024","UML_NARWHAL_R6_B27","062019","1_14","6/24/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B33","n","Healthy"
"40","062019_BEL_CBC_T1_18_PAST","9_11_2024","1.28","10_6_2024","UML_NARWHAL_R6_B30","062019","1_20","6/24/19","PAST","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","n","Healthy"
"41","062019_BEL_CBC_T1_24_MCAV","6_13_2022","21.2","11_5_2024","UML_NARWHAL_R6_B27","062019","1_15","6/26/19","MCAV","Healthy","Depleted_UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33","n","Healthy"
"42","062019_BEL_CBC_T1_3_MCAV","9_13_2024","29.6","10_9_2024","UML_NARWHAL_R6_B27","062019","1_355","6/21/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","n","Healthy"
"43","062019_BEL_CBC_T1_4_MCAV","2022","9.36","10_30_24","UML_NARWHAL_R6_B27","062019","1_329","6/21/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","n","Healthy"
"44","062019_BEL_CBC_T1_6_MCAV","2022","7.03","11_5_2024","UML_NARWHAL_R6_B27","062019","1_342","6/21/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B33","n","Healthy"
"45","062019_BEL_CBC_T1_8_PAST","6_17_2022","3.92","10_30_24","all_sent_for_sequencing","062019","1_19","6/21/19","PAST","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Healthy"
"46","062019_BEL_CBC_T1_9_MCAV","2022","3.56","11_5_2024","UML_NARWHAL_R6_B27","062019","1_333","6/21/19","MCAV","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B33","n","Healthy"
"47","062019_BEL_CBC_T2_22_PAST","9_11_2024","1.2","10_6_2024","UML_NARWHAL_R6_B30","062019","2_56","6/25/19","PAST","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","n","Healthy"
"48","062019_BEL_CBC_T2_22_PAST","9_11_2024","1.2","10_6_2024","UML_NARWHAL_R6_B30","062019","2_56","6/25/19","PAST","Healthy","UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","n","Healthy"
"49","062019_BEL_CBC_T2_28_MCAV","2022","3.3","10_30_24","all_sent_for_sequencing","062019","2_56","6/25/19","MCAV","Healthy","Depleted_UML_NARWHAL_R1_B1","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","n","Healthy"
